1.000000e+00	1.213986e+00	5.403023e-01	0.000000e+00
1.008000e+00	1.213196e+00	5.335533e-01	5.212932e-03
1.016000e+00	1.212365e+00	5.267702e-01	1.035674e-02
1.024000e+00	1.211493e+00	5.199533e-01	1.543100e-02
1.032000e+00	1.210581e+00	5.131032e-01	2.043533e-02
1.040000e+00	1.209628e+00	5.062203e-01	2.536932e-02
1.048000e+00	1.208635e+00	4.993049e-01	3.023262e-02
1.056000e+00	1.207601e+00	4.923576e-01	3.502484e-02
1.064000e+00	1.206526e+00	4.853788e-01	3.974564e-02
1.072000e+00	1.205411e+00	4.783689e-01	4.439468e-02
1.080000e+00	1.204255e+00	4.713284e-01	4.897163e-02
1.088000e+00	1.203059e+00	4.642577e-01	5.347617e-02
1.096000e+00	1.201823e+00	4.571573e-01	5.790800e-02
1.104000e+00	1.200546e+00	4.500277e-01	6.226683e-02
1.112000e+00	1.199229e+00	4.428692e-01	6.655237e-02
1.120000e+00	1.197872e+00	4.356824e-01	7.076437e-02
1.128000e+00	1.196475e+00	4.284678e-01	7.490256e-02
1.136000e+00	1.195038e+00	4.212257e-01	7.896671e-02
1.144000e+00	1.193560e+00	4.139566e-01	8.295658e-02
1.152000e+00	1.192043e+00	4.066611e-01	8.687195e-02
1.160000e+00	1.190486e+00	3.993395e-01	9.071263e-02
1.168000e+00	1.188889e+00	3.919924e-01	9.447842e-02
1.176000e+00	1.187252e+00	3.846202e-01	9.816914e-02
1.184000e+00	1.185576e+00	3.772234e-01	1.017846e-01
1.192000e+00	1.183860e+00	3.698024e-01	1.053247e-01
1.200000e+00	1.182105e+00	3.623578e-01	1.087893e-01
1.208000e+00	1.180310e+00	3.548899e-01	1.121782e-01
1.216000e+00	1.178475e+00	3.473994e-01	1.154913e-01
1.224000e+00	1.176602e+00	3.398866e-01	1.187286e-01
1.232000e+00	1.174689e+00	3.323521e-01	1.218899e-01
1.240000e+00	1.172737e+00	3.247963e-01	1.249751e-01
1.248000e+00	1.170746e+00	3.172197e-01	1.279843e-01
1.256000e+00	1.168716e+00	3.096228e-01	1.309173e-01
1.264000e+00	1.166647e+00	3.020061e-01	1.337740e-01
1.272000e+00	1.164539e+00	2.943701e-01	1.365546e-01
1.280000e+00	1.162393e+00	2.867152e-01	1.392589e-01
1.288000e+00	1.160208e+00	2.790420e-01	1.418870e-01
1.296000e+00	1.157985e+00	2.713509e-01	1.444389e-01
1.304000e+00	1.155723e+00	2.636425e-01	1.469146e-01
1.312000e+00	1.153423e+00	2.559171e-01	1.493141e-01
1.320000e+00	1.151085e+00	2.481755e-01	1.516375e-01
1.328000e+00	1.148708e+00	2.404179e-01	1.538848e-01
1.336000e+00	1.146294e+00	2.326449e-01	1.560562e-01
1.344000e+00	1.143842e+00	2.248571e-01	1.581517e-01
1.352000e+00	1.141352e+00	2.170548e-01	1.601715e-01
1.360000e+00	1.138824e+00	2.092387e-01	1.621155e-01
1.368000e+00	1.136259e+00	2.014091e-01	1.639841e-01
1.376000e+00	1.133656e+00	1.935667e-01	1.657772e-01
1.384000e+00	1.131017e+00	1.857119e-01	1.674951e-01
1.392000e+00	1.128339e+00	1.778452e-01	1.691380e-01
1.400000e+00	1.125625e+00	1.699671e-01	1.707059e-01
1.408000e+00	1.122874e+00	1.620782e-01	1.721992e-01
1.416000e+00	1.120086e+00	1.541789e-01	1.736179e-01
1.424000e+00	1.117262e+00	1.462697e-01	1.749623e-01
1.432000e+00	1.114400e+00	1.383511e-01	1.762327e-01
1.440000e+00	1.111503e+00	1.304237e-01	1.774293e-01
1.448000e+00	1.108569e+00	1.224880e-01	1.785523e-01
1.456000e+00	1.105599e+00	1.145444e-01	1.796019e-01
1.464000e+00	1.102593e+00	1.065934e-01	1.805786e-01
1.472000e+00	1.099551e+00	9.863568e-02	1.814825e-01
1.480000e+00	1.096473e+00	9.067162e-02	1.823140e-01
1.488000e+00	1.093359e+00	8.270176e-02	1.830733e-01
1.496000e+00	1.090211e+00	7.472661e-02	1.837608e-01
1.504000e+00	1.087026e+00	6.674667e-02	1.843769e-01
1.512000e+00	1.083807e+00	5.876246e-02	1.849219e-01
1.520000e+00	1.080552e+00	5.077448e-02	1.853960e-01
1.528000e+00	1.077263e+00	4.278326e-02	1.857998e-01
1.536000e+00	1.073939e+00	3.478931e-02	1.861336e-01
1.544000e+00	1.070580e+00	2.679312e-02	1.863977e-01
1.552000e+00	1.067187e+00	1.879522e-02	1.865927e-01
1.560000e+00	1.063760e+00	1.079612e-02	1.867188e-01
1.568000e+00	1.060298e+00	2.796323e-03	1.867766e-01
1.576000e+00	1.056802e+00	5.203650e-03	1.867975e-01
1.584000e+00	1.053273e+00	1.320329e-02	1.868796e-01
1.592000e+00	1.049710e+00	2.120208e-02	1.870177e-01
1.600000e+00	1.046114e+00	2.919952e-02	1.872318e-01
1.608000e+00	1.042484e+00	3.719509e-02	1.875244e-01
1.616000e+00	1.038821e+00	4.518828e-02	1.878485e-01
1.624000e+00	1.035125e+00	5.317858e-02	1.882570e-01
1.632000e+00	1.031396e+00	6.116547e-02	1.887435e-01
1.640000e+00	1.027635e+00	6.914845e-02	1.892662e-01
1.648000e+00	1.023841e+00	7.712700e-02	1.899057e-01
1.656000e+00	1.020015e+00	8.510062e-02	1.905295e-01
1.664000e+00	1.016157e+00	9.306879e-02	1.912555e-01
1.672000e+00	1.012267e+00	1.010310e-01	1.920423e-01
1.680000e+00	1.008345e+00	1.089868e-01	1.928913e-01
1.688000e+00	1.004391e+00	1.169355e-01	1.938007e-01
